Name,Publisher,Installed On,Size (MB),Version,Install Location,Source
Windows Driver Package - FTDI CDM Driver Package - Bus/D2XX Driver (01/18/2013 2.08.28),FTDI,Unknown,,01/18/2013 2.08.28,C:\PROGRA~1\DIFX\862E75C35EC9FF84,msi_apps
Windows Driver Package - FTDI CDM Driver Package - VCP Driver (01/18/2013 2.08.28),FTDI,Unknown,,01/18/2013 2.08.28,C:\PROGRA~1\DIFX\862E75C35EC9FF84,msi_apps
ELAN Touchpad 11.15.0.18_X64,ELAN Microelectronic Corp.,Unknown,,11.15.0.18,%ProgramFiles%\Elantech,msi_apps
Git,The Git Development Community,15-06-2026,335.69 MB,2.54.0,C:\Program Files\Git\,msi_apps
VLC media player,VideoLAN,Unknown,,3.0.3,C:\Program Files\VideoLAN\VLC,msi_apps
Python 3.14.5 Executables (64-bit),Python Software Foundation,10-06-2026,2.79 MB,3.14.5150.0,Unknown,msi_apps
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,Microsoft Corporation,14-02-2022,13.83 MB,10.0.40219,Unknown,msi_apps
Microsoft Update Health Tools,Microsoft Corporation,10-01-2024,1.03 MB,3.74.0.0,Unknown,msi_apps
Python 3.14.5 Tcl/Tk Support (64-bit),Python Software Foundation,10-06-2026,13.71 MB,3.14.5150.0,Unknown,msi_apps
Python 3.14.5 Development Libraries (64-bit),Python Software Foundation,10-06-2026,3.02 MB,3.14.5150.0,Unknown,msi_apps
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719,Microsoft Corporation,23-03-2026,2.35 MB,14.50.35719,Unknown,msi_apps
Webex,"Cisco Systems, Inc",05-10-2023,457.12 MB,43.2.0.25211,C:\Users\cpcl\AppData\Local\Programs\Cisco Spark\,msi_apps
Windows PC Health Check,Microsoft Corporation,30-04-2022,11.66 MB,3.6.2204.08001,Unknown,msi_apps
Python 3.14.5 pip Bootstrap (64-bit),Python Software Foundation,10-06-2026,0.28 MB,3.14.5150.0,Unknown,msi_apps
Microsoft Office 64-bit Components 2016,Microsoft Corporation,30-03-2021,73.83 MB,16.0.4266.1001,C:\Program Files (x86)\Microsoft Office\,msi_apps
